Nameplate,Technology,Latitude,Longitude,State,Plant_ID,Year
1.0,Hydroelectric,40.45193,-121.86215,CA,180,2018
56.0,Hydroelectric,36.421507,-93.847373,AR,182,2018
40.0,Hydroelectric,34.211913,-93.110963,AR,187,2018
48.0,Hydroelectric,35.5207,-91.9953,AR,188,2018
2.0,Other,36.3858,-90.1867,AR,193,2018
8.5,Hydroelectric,34.148427000000005,-93.715168,AR,195,2018
40.2,Hydroelectric,36.2491,-92.2401,AR,196,2018
37.5,Hydroelectric,34.570984,-93.194425,AR,197,2018
40.0,Hydroelectric,36.3635,-92.5763,AR,198,2018
40.2,Hydroelectric,35.2503,-93.1686,AR,199,2018
59.0,Natural Gas,35.462382,-93.804926,AR,201,2018
120.0,Natural Gas,35.260102,-91.363426,AR,202,2018
136.0,Natural Gas,33.5648,-92.7917,AR,203,2018
1138.3,Nuclear,40.1719,-88.8339,IL,204,2018
1267.7,Nuclear,38.239259999999994,-95.68978,KS,210,2018
1.0,Hydroelectric,39.215979,-120.80355,CA,214,2018
1.4,Hydroelectric,38.071944,-120.53944399999999,CA,215,2018
31.0,Hydroelectric,36.909137,-119.08771200000001,CA,217,2018
48.6,Hydroelectric,36.908907,-119.087556,CA,218,2018
117.9,Hydroelectric,40.007445000000004,-121.24943799999998,CA,219,2018
33.0,Hydroelectric,39.91062,-121.327692,CA,220,2018
40.0,Hydroelectric,40.175656,-121.19066299999999,CA,221,2018
23.8,Hydroelectric,40.085476,-121.14824099999998,CA,222,2018
60.3,Hydroelectric,40.085997,-121.149373,CA,223,2018
5.5,Hydroelectric,39.788877,-121.65738300000001,CA,224,2018
7.0,Hydroelectric,38.771764000000005,-120.813239,CA,225,2018
12.1,Hydroelectric,40.404645,-122.121904,CA,227,2018
0.7,Hydroelectric,40.570817,-122.02093,CA,229,2018
36.9,Hydroelectric,39.825907,-121.409687,CA,231,2018
18.4,Hydroelectric,39.869265000000006,-121.631819,CA,232,2018
5.5,Hydroelectric,39.29807,-120.8443,CA,233,2018
12.0,Hydroelectric,39.256873,-120.76743700000002,CA,235,2018
53.1,Hydroelectric,39.257388,-120.767046,CA,236,2018
22.0,Hydroelectric,39.216985,-120.83558700000002,CA,237,2018
10.0,Hydroelectric,38.793574,-120.619152,CA,238,2018
32.3,Hydroelectric,38.330985,-120.669901,CA,239,2018
67.5,Hydroelectric,36.927424,-119.02025,CA,240,2018
13.6,Hydroelectric,38.956984999999996,-121.041932,CA,241,2018
2.6,Hydroelectric,40.268712,-121.089479,CA,242,2018
10.0,Hydroelectric,40.929297,-121.54446200000001,CA,243,2018
10.0,Hydroelectric,40.960675,-121.548657,CA,244,2018
16.7,Natural Gas,40.7415,-124.2103,CA,246,2018
7.6,Hydroelectric,40.400988,-121.965502,CA,248,2018
85.1,Hydroelectric,40.992295,-121.975182,CA,249,2018
11.3,Hydroelectric,37.092486,-119.552826,CA,250,2018
1.5,Hydroelectric,40.677827,-121.873253,CA,253,2018
48.6,Hydroelectric,36.888166,-119.158777,CA,254,2018
1.0,Hydroelectric,39.698755,-121.57096000000001,CA,255,2018
3.4,Hydroelectric,37.52301,-120.32990500000001,CA,258,2018
233.0,Natural Gas,36.804837,-121.78224099999998,CA,260,2018
