Plant_ID,Nameplate,Technology,Latitude,Longitude,State,Year
1250,38.0,Coal,39.0072,-95.26916700000001,KS,2001
1252,82.0,Coal,39.0539,-95.568889,KS,2001
1295,81.6,Coal,39.1492,-94.6381,KS,2001
1353,280.5,Coal,38.1707,-82.6176,KY,2001
1355,113.6,Coal,37.788309999999996,-84.71257,KY,2001
1356,556.9,Coal,38.7497,-85.035,KY,2001
1357,37.5,Coal,37.3636,-87.1214,KY,2001
1360,37.5,Coal,36.762029999999996,-83.6949176,KY,2001
1361,75.0,Coal,38.0478,-84.8483,KY,2001
1363,163.2,Coal,38.1831,-85.8892,KY,2001
1364,355.5,Coal,38.0525,-85.9103,KY,2001
1372,11.5,Coal,37.8442059,-87.5915881,KY,2001
1374,163.2,Coal,37.7942,-87.0608,KY,2001
1378,704.0,Coal,37.2608,-86.9783,KY,2001
1379,175.0,Coal,37.1517,-88.775,KY,2001
1381,174.2,Coal,37.9631,-86.7911,KY,2001
1382,200.0,Coal,37.6469,-87.5028,KY,2001
1383,96.0,Coal,37.6461,-87.5019,KY,2001
1384,100.0,Coal,36.9981,-84.5919,KY,2001
1385,22.0,Coal,37.8806,-84.2619,KY,2001
1554,136.0,Coal,39.1781,-76.5268,MD,2001
1570,75.0,Coal,39.595,-77.82694000000001,MD,2001
1571,364.0,Coal,38.5444,-76.6861,MD,2001
1572,196.0,Coal,39.2097,-77.4644,MD,2001
1573,626.0,Coal,38.3592,-76.9767,MD,2001
1606,136.0,Coal,42.2806,-72.6055,MA,2001
1613,100.0,Coal,41.737688,-71.14545190000001,MA,2001
1619,241.0,Coal,41.7103,-71.1931,MA,2001
1626,81.9,Coal,42.5256,-70.8772,MA,2001
1695,156.2,Coal,43.258767999999996,-86.24226800000001,MI,2001
1702,265.0,Coal,43.644996,-83.840074,MI,2001
1710,265.0,Coal,42.910296,-86.20074,MI,2001
1720,156.2,Coal,43.639927,-83.844712,MI,2001
1723,100.0,Coal,41.792114,-83.44948000000001,MI,2001
1731,121.0,Coal,43.8519,-82.6436,MI,2001
1732,50.0,Coal,42.9261573,-82.46030859999999,MI,2001
