Nameplate,Technology,Latitude,Longitude,State,Plant_ID
1.6,Hydroelectric,31.361146,-86.518307,AL,55
1.6,Hydroelectric,31.361146,-86.518307,AL,55
2,Hydroelectric,31.361146,-86.518307,AL,55
66,Coal,31.488019,-87.910747,AL,56
236,Coal,31.488019,-87.910747,AL,56
236,Coal,31.488019,-87.910747,AL,56
109.8,Coal,40.854765,-98.348222,NE,59
76.3,Coal,40.580872,-98.312437,NE,60
248,Coal,40.580872,-98.312437,NE,60
1.8,Hydroelectric,58.3176,-134.101,AK,62
2.2,Hydroelectric,58.3176,-134.101,AK,62
0.8,Hydroelectric,58.3107,-134.4174,AK,63
0.4,Hydroelectric,58.3107,-134.4174,AK,63
0.4,Hydroelectric,58.3107,-134.4174,AK,63
1.2,Other,58.3107,-134.4174,AK,63
1.2,Other,58.3107,-134.4174,AK,63
1.1,Other,58.3107,-134.4174,AK,63
3.5,Other,58.3107,-134.4174,AK,63
1.1,Other,58.3107,-134.4174,AK,63
2.5,Other,58.3536,-134.4953,AK,64
2.6,Other,58.3536,-134.4953,AK,64
2.6,Other,58.3536,-134.4953,AK,64
18.6,Other,58.3536,-134.4953,AK,64
18.6,Other,58.3536,-134.4953,AK,64
2.8,Other,58.3536,-134.4953,AK,64
2.8,Other,58.3536,-134.4953,AK,64
2.8,Other,58.3536,-134.4953,AK,64
2.8,Other,58.3536,-134.4953,AK,64
2.8,Other,58.3536,-134.4953,AK,64
2.8,Other,58.3536,-134.4953,AK,64
8.5,Hydroelectric,58.3269,-134.4631,AK,65
0.4,Hydroelectric,59.4545,-135.3131,AK,66
0.1,Hydroelectric,59.4545,-135.3131,AK,66
0.3,Hydroelectric,59.4545,-135.3131,AK,66
0.2,Hydroelectric,59.4545,-135.3131,AK,66
0.8,Other,59.4545,-135.3131,AK,66
1.1,Other,59.4545,-135.3131,AK,66
0.5,Other,59.4545,-135.3131,AK,66
1,Other,59.4545,-135.3131,AK,66
1.2,Other,59.235931,-135.446228,AK,69
1.9,Other,59.235931,-135.446228,AK,69
0.6,Other,59.235931,-135.446228,AK,69
2.8,Other,59.235931,-135.446228,AK,69
1.6,Other,59.235931,-135.446228,AK,69
11.3,Hydroelectric,55.615208,-131.356111,AK,70
11.3,Hydroelectric,55.615208,-131.356111,AK,70
11.2,Hydroelectric,57.6861,-152.895,AK,71
11.2,Hydroelectric,57.6861,-152.895,AK,71
11.2,Hydroelectric,57.6861,-152.895,AK,71
10.1,Hydroelectric,34.01135,-118.4168,CA,72
48.9,Natural Gas,61.2221,-149.8661,AK,75
27,Natural Gas,61.2221,-149.8661,AK,75
2,Other,61.2221,-149.8661,AK,75
22.2,Hydroelectric,61.475211,-149.15009,AK,77
22.2,Hydroelectric,61.475211,-149.15009,AK,77
23.6,Hydroelectric,58.1415,-133.737,AK,78
23.6,Hydroelectric,58.1415,-133.737,AK,78
31,Hydroelectric,58.1415,-133.737,AK,78
5,Coal,64.847743,-147.735063,AK,79
2.5,Coal,64.847743,-147.735063,AK,79
20,Coal,64.847743,-147.735063,AK,79
1.4,Hydroelectric,55.344641,-131.633425,AK,84
1.4,Hydroelectric,55.344641,-131.633425,AK,84
1.4,Hydroelectric,55.344641,-131.633425,AK,84
4.5,Other,55.357397,-131.69696,AK,85
4.5,Other,55.357397,-131.69696,AK,85
6.4,Other,55.357397,-131.69696,AK,85
10.5,Other,55.357397,-131.69696,AK,85
257,Coal,35.4159,-108.082,NM,87
2.3,Hydroelectric,41.949,-74.2063,NY,88
2.3,Hydroelectric,41.949,-74.2063,NY,88
3.8,Other,64.505331,-165.429814,AK,90
2,Other,64.505331,-165.429814,AK,90
5.2,Other,64.505331,-165.429814,AK,90
5.2,Other,64.505331,-165.429814,AK,90
0.4,Other,64.505331,-165.429814,AK,90
0.8,Wind,64.505331,-165.429814,AK,90
0.9,Wind,64.505331,-165.429814,AK,90
0.9,Wind,64.505331,-165.429814,AK,90
1.6,Hydroelectric,56.81104,-132.957091,AK,91
2.6,Other,56.81104,-132.957091,AK,91
1.2,Other,56.81104,-132.957091,AK,91
0.6,Other,56.81104,-132.957091,AK,91
0.8,Other,56.81104,-132.957091,AK,91
2.6,Other,56.81104,-132.957091,AK,91
2.6,Other,56.81104,-132.957091,AK,91
2.5,Other,56.81104,-132.957091,AK,91
2.5,Other,60.130922,-149.43501,AK,92
2.5,Other,60.130922,-149.43501,AK,92
2.5,Other,60.130922,-149.43501,AK,92
2.8,Other,60.130922,-149.43501,AK,92
2.8,Other,60.130922,-149.43501,AK,92
2.5,Other,60.130922,-149.43501,AK,92
5.3,Hydroelectric,57.0516,-135.2297,AK,93
5.3,Hydroelectric,57.0516,-135.2297,AK,93
5.3,Hydroelectric,57.0516,-135.2297,AK,93
2,Other,56.460976,-132.379439,AK,95
2,Other,56.460976,-132.379439,AK,95
2,Other,56.460976,-132.379439,AK,95
2.5,Other,56.460976,-132.379439,AK,95
16,Natural Gas,61.1861,-151.0356,AK,96
