Nameplate,Technology,Latitude,Longitude,PLNTCODE,State
720.7,Coal,32.030556,-93.569167,51,LA
1.2,Hydroelectric,31.4033,-86.479469,53,AL
1.8,Hydroelectric,31.4033,-86.479469,53,AL
149,Natural Gas,37.8833,-84.1017,54,KY
149,Natural Gas,37.8833,-84.1017,54,KY
149,Natural Gas,37.8833,-84.1017,54,KY
108,Natural Gas,37.8833,-84.1017,54,KY
108,Natural Gas,37.8833,-84.1017,54,KY
1.6,Hydroelectric,31.361146,-86.518307,55,AL
1.6,Hydroelectric,31.361146,-86.518307,55,AL
2,Hydroelectric,31.361146,-86.518307,55,AL
66,Coal,31.488019,-87.910747,56,AL
236,Coal,31.488019,-87.910747,56,AL
236,Coal,31.488019,-87.910747,56,AL
109.8,Coal,40.854765,-98.348222,59,NE
76.3,Coal,40.580872,-98.312437,60,NE
1.8,Hydroelectric,58.3176,-134.101,62,AK
1.8,Hydroelectric,58.3176,-134.101,62,AK
0.8,Hydroelectric,58.3107,-134.4174,63,AK
0.4,Hydroelectric,58.3107,-134.4174,63,AK
0.4,Hydroelectric,58.3107,-134.4174,63,AK
1.3,Other,58.3107,-134.4174,63,AK
1.3,Other,58.3107,-134.4174,63,AK
1.2,Other,58.3107,-134.4174,63,AK
1.2,Other,58.3107,-134.4174,63,AK
3.5,Other,58.3107,-134.4174,63,AK
2.5,Other,58.3536,-134.4953,64,AK
2.5,Other,58.3536,-134.4953,64,AK
2.5,Other,58.3536,-134.4953,64,AK
17.5,Other,58.3536,-134.4953,64,AK
17.5,Other,58.3536,-134.4953,64,AK
2.5,Other,58.3536,-134.4953,64,AK
2.5,Other,58.3536,-134.4953,64,AK
2.5,Other,58.3536,-134.4953,64,AK
2.5,Other,58.3536,-134.4953,64,AK
2.5,Other,58.3536,-134.4953,64,AK
2.5,Other,58.3536,-134.4953,64,AK
6.7,Hydroelectric,58.3269,-134.4631,65,AK
0.4,Hydroelectric,59.4545,-135.3131,66,AK
0.1,Hydroelectric,59.4545,-135.3131,66,AK
0.3,Hydroelectric,59.4545,-135.3131,66,AK
0.2,Hydroelectric,59.4545,-135.3131,66,AK
0.8,Other,59.4545,-135.3131,66,AK
1.1,Other,59.4545,-135.3131,66,AK
0.5,Other,59.4545,-135.3131,66,AK
0.6,Other,59.2358,-135.445,69,AK
1.1,Other,59.2358,-135.445,69,AK
1.2,Other,59.2358,-135.445,69,AK
2.8,Other,59.2358,-135.445,69,AK
1.6,Other,59.2358,-135.445,69,AK
11.2,Hydroelectric,55.613892,-131.35417,70,AK
11.2,Hydroelectric,55.613892,-131.35417,70,AK
11.2,Hydroelectric,57.6861,-152.895,71,AK
11.2,Hydroelectric,57.6861,-152.895,71,AK
10.1,Hydroelectric,34.01135,-118.4168,72,CA
12.5,Natural Gas,61.2221,-149.8661,75,AK
12.5,Natural Gas,61.2221,-149.8661,75,AK
16.3,Natural Gas,61.2221,-149.8661,75,AK
27,Natural Gas,61.2221,-149.8661,75,AK
1.1,Other,61.2221,-149.8661,75,AK
1.1,Other,61.2221,-149.8661,75,AK
22.2,Hydroelectric,61.475211,-149.15009,77,AK
22.2,Hydroelectric,61.475211,-149.15009,77,AK
23.5,Hydroelectric,58.1415,-133.737,78,AK
23.5,Hydroelectric,58.1415,-133.737,78,AK
31,Hydroelectric,58.1415,-133.737,78,AK
5,Coal,64.847743,-147.735063,79,AK
2.5,Coal,64.847743,-147.735063,79,AK
1.5,Coal,64.847743,-147.735063,79,AK
20,Coal,64.847743,-147.735063,79,AK
1.4,Hydroelectric,55.344641,-131.633425,84,AK
1.4,Hydroelectric,55.344641,-131.633425,84,AK
1.4,Hydroelectric,55.344641,-131.633425,84,AK
4.5,Other,55.3633,-131.6778,85,AK
4.5,Other,55.3633,-131.6778,85,AK
6.4,Other,55.3633,-131.6778,85,AK
10.5,Other,55.3633,-131.6778,85,AK
257,Coal,35.4159,-108.082,87,NM
2.3,Hydroelectric,41.949,-74.2063,88,NY
2.3,Hydroelectric,41.949,-74.2063,88,NY
1.2,Other,64.505924,-165.429384,90,AK
1,Other,64.505924,-165.429384,90,AK
2.8,Other,64.505924,-165.429384,90,AK
1.5,Other,64.505924,-165.429384,90,AK
3.8,Other,64.505924,-165.429384,90,AK
2,Other,64.505924,-165.429384,90,AK
1.6,Hydroelectric,56.81104,-132.957091,91,AK
2.6,Other,56.81104,-132.957091,91,AK
0.3,Other,56.81104,-132.957091,91,AK
1.2,Other,56.81104,-132.957091,91,AK
0.6,Other,56.81104,-132.957091,91,AK
0.8,Other,56.81104,-132.957091,91,AK
2.6,Other,56.81104,-132.957091,91,AK
2.6,Other,56.81104,-132.957091,91,AK
1.5,Other,60.1083,-149.4417,92,AK
1.5,Other,60.1083,-149.4417,92,AK
2.5,Other,60.1083,-149.4417,92,AK
2.5,Other,60.1083,-149.4417,92,AK
2.5,Other,60.1083,-149.4417,92,AK
2.8,Other,60.1083,-149.4417,92,AK
3,Hydroelectric,57.0516,-135.2297,93,AK
3,Hydroelectric,57.0516,-135.2297,93,AK
1.3,Other,56.4522,-132.3683,95,AK
1.3,Other,56.4522,-132.3683,95,AK
1.3,Other,56.4522,-132.3683,95,AK
1.3,Other,56.4522,-132.3683,95,AK
0.5,Other,56.4522,-132.3683,95,AK
0.5,Other,56.4522,-132.3683,95,AK
2.5,Other,56.4522,-132.3683,95,AK
2,Other,56.4522,-132.3683,95,AK
2,Other,56.4522,-132.3683,95,AK
2,Other,56.4522,-132.3683,95,AK
16,Natural Gas,61.1861,-151.0356,96,AK
16,Natural Gas,61.1861,-151.0356,96,AK
59.1,Natural Gas,61.1861,-151.0356,96,AK
68.3,Natural Gas,61.1861,-151.0356,96,AK
76.5,Natural Gas,61.1861,-151.0356,96,AK
